number,content,option_a,option_b,option_c,option_d,correct
39,My father _____ to rent a car when one of his friends phoned him to offer his own car for the trip.,had decided,was deciding,has decided,decided,A
40,When he _____ he _____ on a bed in a room with no windows.,had woken up – was lying,woke up – was lying,wakes up – is lying,woke up – lay,B
41,The teacher _____ to the class before the students _____ the problems.,will come back – have solved,has come back – solved,came back – have solved,is coming back – solve,A
42,"Yesterday on TV they _____ a heavy shower for today, but I _____ even a single drop yet.",announced – am not seeing,announced – didn’t see,have announced – haven’t seen,announced – haven’t seen,D
43,"You don’t have to worry about the children, they _____ all about this by the end of the semester.",will be forgetting,will have forgotten,will forget,are going to forget,B
44,"Just as the bus _____ away from the curb, another passenger _____ in through the still open door.",is pulling – has been leaping,pulled – has leapt,was pulling – leapt,pulls – was leaping,C
45,"While she _____ for her sister outside the supermarket, someone _____ her handbag.",had to wait – had stolen,waited – had been stealing,had waited – was stealing,was waiting – stole,D
46,The spokesperson _____ her speech yet when an angry audience member _____ shouting at her.,won’t finish – begins,didn’t finish – was beginning,hadn’t finished – began,doesn’t finish – is beginning,C
47,"A clumsy and flightless bird that at one time _____ a group of islands in the Indian Ocean, the dodo _____ extinct in 1681 as a result of excessive hunting by Portuguese sailors.",has been inhabiting – became,inhabited – became,has inhabited – becomes,was inhabiting – has become,B
48,"Because of the icy road, we very narrowly _____ an accident as we _____ around the curve.",have been avoiding – are driving,were avoiding – have driven,have avoided – drove,avoided – were driving,D
49,"This is the forty-second composition paper I _____ so far, and there _____ seventy-five more.",will have checked – are going to be,had checked – were,have checked – are,checked – will be,C
50,The carelessness of parents often _____ children to be subject to many household accidents.,causes,have caused,had caused,is caused,A
